Id,DisplayName,CompanyName,GivenName,FamilyName,PrimaryEmailAddr_Address,PrimaryPhone_FreeFormNumber,BillAddr_Line1,BillAddr_City,BillAddr_State,BillAddr_Country,Entity,EntityName,Industry,BillingCadence,CurrencyRef_value,CurrencyRef_name,Terms,CreditLimit,Taxable,Active,PreferredDeliveryMethod,Job,BillWithParent,IsProject,domain,sparse,SyncToken,MetaData_CreateTime
2017,Onyx Packaging Systems,Onyx Packaging Systems,Nora,Kowalczyk,nora.kowalczyk@onyxpackagingsystems.com,+1-968-785-2691,"7811 Commerce Dr, Suite 219",Phoenix,AZ,USA,MLG,Meridian Logistics LLC,Packaging,Monthly,USD,US Dollar,Net 30,200000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2018,Ferrous Metals Trading,Ferrous Metals Trading,Naomi,Ellsworth,naomi.ellsworth@ferrousmetalstrading.com,+1-547-941-1163,"2584 Havenweg, Suite 861",Memphis,TN,USA,CFS,Cascade Freight Systems Inc,Metals,Monthly,USD,US Dollar,Net 30,220000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2019,Silverline Appliances,Silverline Appliances,Naomi,Kowalczyk,naomi.kowalczyk@silverlineappliances.com,+1-341-914-5678,"3450 Havenweg, Suite 419",Columbus,OH,USA,APX,Apex Warehousing LLC,Appliances,Monthly,USD,US Dollar,Net 15,180000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2020,Volta Battery Systems,Volta Battery Systems,Bianca,Nowak,bianca.nowak@voltabatterysystems.com,+31-10-7824194,"3100 Cedar Ln, Suite 400",Lyon,FR,NLD,NWC,Northwind Cargo B.V.,Electronics,Monthly,EUR,Euro,Net 15,200000,False,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2021,Highmark Steel Service,Highmark Steel Service,Claire,Vandermeer,claire.vandermeer@highmarksteelservice.com,+1-244-822-7842,"9247 Oak Ave, Suite 708",Charlotte,NC,USA,CFS,Cascade Freight Systems Inc,Metals,Monthly,USD,US Dollar,Net 45,200000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2022,Lumina Cosmetics,Lumina Cosmetics,Helena,Mendez,helena.mendez@luminacosmetics.com,+1-936-519-2328,"3400 Havenweg, Suite 247",Atlanta,GA,USA,APX,Apex Warehousing LLC,Beauty,Monthly,USD,US Dollar,Net 15,180000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2023,Atlas Bearing Works,Atlas Bearing Works,Claire,Ashworth,claire.ashworth@atlasbearingworks.com,+1-300-471-5380,"1081 Commerce Dr, Suite 448",Dallas,TX,USA,MLG,Meridian Logistics LLC,Industrial,Monthly,USD,US Dollar,Net 30,180000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2024,Beacon Optics,Beacon Optics,Ingrid,Kowalczyk,ingrid.kowalczyk@beaconoptics.com,+31-46-9424217,"6358 Commerce Dr, Suite 439",Barcelona,ES,NLD,NWC,Northwind Cargo B.V.,Electronics,Quarterly,EUR,Euro,Net 60,350000,False,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2025,Willow Creek Furniture,Willow Creek Furniture,Elliot,Sandoval,elliot.sandoval@willowcreekfurniture.com,+1-548-936-2905,"2875 Commerce Dr, Suite 698",Atlanta,GA,USA,APX,Apex Warehousing LLC,Furniture,Quarterly,USD,US Dollar,Net 30,320000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2026,Quarry Stone Materials,Quarry Stone Materials,Maya,Marchetti,maya.marchetti@quarrystonematerials.com,+1-602-225-6918,"391 Industrial Pkwy, Suite 896",Denver,CO,USA,CFS,Cascade Freight Systems Inc,Construction,Quarterly,USD,US Dollar,Net 45,300000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2027,Perigee Aerospace Parts,Perigee Aerospace Parts,Ingrid,Bergstrom,ingrid.bergstrom@perigeeaerospaceparts.com,+1-709-405-1429,"9548 Terminal Way, Suite 444",Columbus,OH,USA,MLG,Meridian Logistics LLC,Aerospace,Quarterly,USD,US Dollar,Net 30,300000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2028,Nordvik Frozen Foods,Nordvik Frozen Foods,Owen,Delacroix,owen.delacroix@nordvikfrozenfoods.com,+31-28-4538250,"8980 Oak Ave, Suite 942",Lyon,FR,NLD,NWC,Northwind Cargo B.V.,Food,Quarterly,EUR,Euro,Net 45,280000,False,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2029,Cindershade Grills,Cindershade Grills,Owen,Mensah,owen.mensah@cindershadegrills.com,+1-484-675-4833,"5141 Commerce Dr, Suite 430",Newark,NJ,USA,APX,Apex Warehousing LLC,Retail,Quarterly,USD,US Dollar,Net 45,250000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2030,Bramblewood Nursery,Bramblewood Nursery,Lena,Whitfield,lena.whitfield@bramblewoodnursery.com,+1-538-771-7906,"5093 Terminal Way, Suite 443",Newark,NJ,USA,CFS,Cascade Freight Systems Inc,Agriculture,Quarterly,USD,US Dollar,Net 60,220000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2031,Marlowe Print Group,Marlowe Print Group,Aisha,Roberts,aisha.roberts@marloweprintgroup.com,+1-412-305-5980,"7682 Cedar Ln, Suite 568",Kansas City,MO,USA,APX,Apex Warehousing LLC,Media,Quarterly,USD,US Dollar,Net 30,220000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2032,Emberline Ceramics,Emberline Ceramics,Owen,Whitfield,owen.whitfield@emberlineceramics.com,+31-27-9796039,"1700 Commerce Dr, Suite 634",Antwerp,BE,NLD,NWC,Northwind Cargo B.V.,Ceramics,Quarterly,EUR,Euro,Net 15,220000,False,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
2033,Sparrow Lane Bakery,Sparrow Lane Bakery,Elliot,Bergstrom,elliot.bergstrom@sparrowlanebakery.com,+1-302-649-6178,"3301 Oak Ave, Suite 185",Denver,CO,USA,CFS,Cascade Freight Systems Inc,Food,Quarterly,USD,US Dollar,Net 30,200000,True,True,Email,False,False,False,QBO,False,0,2024-06-20T09:00:00-07:00
