Id,DocNumber,TxnDate,DueDate,Period,Entity,EntityName,CustomerRef_value,CustomerRef_name,CustomerIndustry,ItemRef_value,ItemRef_name,Sku,Description,Qty,UnitPrice,IncomeAccountNum,IncomeAccountName,ServiceLine,CurrencyRef_value,CurrencyRef_name,ExchangeRate,TotalAmt,TotalAmtUSD,Balance,Status,SalesTermRef_name,PaymentDate,DaysToPay,DaysOutstanding,BillEmail_Address,BillAddr_Line1,BillAddr_City,BillAddr_Country,PrintStatus,EmailStatus,PrivateNote,domain,sparse,SyncToken
5017,1017,2024-07-11,2024-08-25,2024-07,NWC,Northwind Cargo B.V.,2010,Aurora Textiles Group,Apparel,4020,TMS Platform Subscription,SW-TMS-SEAT,TMS Platform Subscription - 2024-07,3,9174.81,4090,Revenue - Software & Data Services,Software & Data Services,EUR,Euro,1.09,27524.43,30001.63,0.0,Paid,Net 45,2024-08-25,45,,bianca.moreau@auroratextilesgroup.com,"5223 Oak Ave, Suite 555",Hamburg,NLD,NotSet,EmailSent,,QBO,False,0
5018,1018,2024-07-04,2024-08-03,2024-07,NWC,Northwind Cargo B.V.,2014,Polaris Cold Chain,Food,4002,Port Drayage Program,SVC-DRAY,Port Drayage Program - 2024-07,1,29030.9,4000,Revenue - Freight Brokerage,Freight Brokerage,EUR,Euro,1.09,29030.9,31643.68,0.0,Paid,Net 30,2024-08-04,31,,marcus.lindqvist@polariscoldchain.com,"3723 Cedar Ln, Suite 328",Duisburg,NLD,NotSet,EmailSent,,QBO,False,0
5019,1019,2024-07-21,2024-08-05,2024-07,NWC,Northwind Cargo B.V.,2020,Volta Battery Systems,Electronics,4001,Freight Brokerage - International,FRT-BRK-INT,Freight Brokerage - International - 2024-07,1,24893.9,4000,Revenue - Freight Brokerage,Freight Brokerage,EUR,Euro,1.09,24893.9,27134.35,0.0,Paid,Net 15,2024-07-22,1,,bianca.nowak@voltabatterysystems.com,"3100 Cedar Ln, Suite 400",Lyon,NLD,NotSet,EmailSent,,QBO,False,0
5020,1020,2024-07-11,2024-09-09,2024-07,APX,Apex Warehousing LLC,2005,Solstice Home Goods,Retail,4009,Cross-Dock Handling,SVC-CROSS,Cross-Dock Handling - 2024-07,2,29406.67,4020,Revenue - LTL Consolidation,LTL Consolidation,USD,US Dollar,1.0,58813.34,58813.34,0.0,Paid,Net 60,2024-08-31,51,,ingrid.whitfield@solsticehomegoods.com,"7197 Commerce Dr, Suite 618",Columbus,USA,NotSet,EmailSent,,QBO,False,0
5021,1021,2024-07-15,2024-08-14,2024-07,APX,Apex Warehousing LLC,2012,Pinnacle Sports Supply,Retail,4011,Cold Storage - Pallet Positions,WHS-COLD,Cold Storage - Pallet Positions - 2024-07,1,34355.65,4030,Revenue - Warehousing & Storage,Warehousing & Storage,USD,US Dollar,1.0,34355.65,34355.65,0.0,Paid,Net 30,2024-08-27,43,,marcus.okafor@pinnaclesportssupply.com,"9301 Industrial Pkwy, Suite 741",Dallas,USA,NotSet,EmailSent,,QBO,False,0
5022,1022,2024-07-24,2024-08-23,2024-07,APX,Apex Warehousing LLC,2016,Trailhead Outdoor Gear,Retail,4011,Cold Storage - Pallet Positions,WHS-COLD,Cold Storage - Pallet Positions - 2024-07,1,31639.41,4030,Revenue - Warehousing & Storage,Warehousing & Storage,USD,US Dollar,1.0,31639.41,31639.41,0.0,Paid,Net 30,2024-08-16,23,,grant.delacroix@trailheadoutdoorgear.com,"3067 Industrial Pkwy, Suite 158",Seattle,USA,NotSet,EmailSent,,QBO,False,0
5023,1023,2024-07-13,2024-07-28,2024-07,APX,Apex Warehousing LLC,2019,Silverline Appliances,Appliances,4013,Fulfillment - Pick & Pack,FUL-PICK,Fulfillment - Pick & Pack - 2024-07,2,13415.17,4040,Revenue - Fulfillment & Pick-Pack,Fulfillment & Pick-Pack,USD,US Dollar,1.0,26830.34,26830.34,0.0,Paid,Net 15,2024-08-04,22,,naomi.kowalczyk@silverlineappliances.com,"3450 Havenweg, Suite 419",Columbus,USA,NotSet,EmailSent,,QBO,False,0
5024,1024,2024-07-26,2024-08-10,2024-07,APX,Apex Warehousing LLC,2022,Lumina Cosmetics,Beauty,4010,Warehousing - Pallet Positions,WHS-STOR-PAL,Warehousing - Pallet Positions - 2024-07,2,13482.06,4030,Revenue - Warehousing & Storage,Warehousing & Storage,USD,US Dollar,1.0,26964.12,26964.12,0.0,Paid,Net 15,2024-08-11,16,,helena.mendez@luminacosmetics.com,"3400 Havenweg, Suite 247",Atlanta,USA,NotSet,EmailSent,,QBO,False,0
5025,1025,2024-08-23,2024-10-07,2024-08,MLG,Meridian Logistics LLC,2001,Vantage Consumer Brands,CPG,4017,Last Mile Delivery Program,LM-DEL-ST,Last Mile Delivery Program - 2024-08,2,66035.83,4060,Revenue - Last Mile Delivery,Last Mile Delivery,USD,US Dollar,1.0,132071.66,132071.66,0.0,Paid,Net 45,2024-10-29,67,,angela.nowak@vantageconsumerbrands.com,"7611 Oak Ave, Suite 587",Memphis,USA,NotSet,EmailSent,,QBO,False,0
5026,1026,2024-08-15,2024-09-14,2024-08,MLG,Meridian Logistics LLC,2002,Ironbridge Manufacturing,Industrial,4000,Freight Brokerage - Standard,FRT-BRK-STD,Freight Brokerage - Standard - 2024-08,2,61277.79,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,122555.58,122555.58,0.0,Paid,Net 30,2024-09-16,32,,lena.sandoval@ironbridgemanufacturing.com,"5482 Oak Ave, Suite 181",Columbus,USA,NotSet,EmailSent,,QBO,False,0
5027,1027,2024-08-09,2024-08-24,2024-08,MLG,Meridian Logistics LLC,2006,Kestrel Auto Components,Automotive,4021,Freight Bill Audit & Pay,SVC-AUDIT,Freight Bill Audit & Pay - 2024-08,3,24829.78,4090,Revenue - Software & Data Services,Software & Data Services,USD,US Dollar,1.0,74489.34,74489.34,0.0,Paid,Net 15,2024-08-27,18,,nora.vasquez@kestrelautocomponents.com,"4140 Industrial Pkwy, Suite 748",Newark,USA,NotSet,EmailSent,,QBO,False,0
5028,1028,2024-08-18,2024-10-02,2024-08,MLG,Meridian Logistics LLC,2008,Halcyon Beverage Co,Beverage,4021,Freight Bill Audit & Pay,SVC-AUDIT,Freight Bill Audit & Pay - 2024-08,1,64877.78,4090,Revenue - Software & Data Services,Software & Data Services,USD,US Dollar,1.0,64877.78,64877.78,0.0,Paid,Net 45,2024-10-01,44,,rachel.mensah@halcyonbeverageco.com,"9866 Terminal Way, Suite 792",Dallas,USA,NotSet,EmailSent,,QBO,False,0
5029,1029,2024-08-24,2024-10-23,2024-08,MLG,Meridian Logistics LLC,2013,Summit Medical Supply,Healthcare,4008,LTL Consolidation - Lane Program,LTL-CON-LN,LTL Consolidation - Lane Program - 2024-08,2,32273.03,4020,Revenue - LTL Consolidation,LTL Consolidation,USD,US Dollar,1.0,64546.06,64546.06,0.0,Paid,Net 60,2024-11-06,74,,rachel.whitfield@summitmedicalsupply.com,"3309 Terminal Way, Suite 763",Atlanta,USA,NotSet,EmailSent,,QBO,False,0
5030,1030,2024-08-09,2024-09-08,2024-08,MLG,Meridian Logistics LLC,2017,Onyx Packaging Systems,Packaging,4017,Last Mile Delivery Program,LM-DEL-ST,Last Mile Delivery Program - 2024-08,3,16596.17,4060,Revenue - Last Mile Delivery,Last Mile Delivery,USD,US Dollar,1.0,49788.51,49788.51,0.0,Paid,Net 30,2024-09-09,31,,nora.kowalczyk@onyxpackagingsystems.com,"7811 Commerce Dr, Suite 219",Phoenix,USA,NotSet,EmailSent,,QBO,False,0
5031,1031,2024-08-13,2024-09-12,2024-08,MLG,Meridian Logistics LLC,2023,Atlas Bearing Works,Industrial,4017,Last Mile Delivery Program,LM-DEL-ST,Last Mile Delivery Program - 2024-08,3,15234.32,4060,Revenue - Last Mile Delivery,Last Mile Delivery,USD,US Dollar,1.0,45702.96,45702.96,0.0,Paid,Net 30,2024-09-19,37,,claire.ashworth@atlasbearingworks.com,"1081 Commerce Dr, Suite 448",Dallas,USA,NotSet,EmailSent,,QBO,False,0
5032,1032,2024-08-07,2024-09-21,2024-08,CFS,Cascade Freight Systems Inc,2003,Northline Grocers Co-op,Grocery,4003,Intermodal Rail Program,SVC-RAIL,Intermodal Rail Program - 2024-08,1,109645.85,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,109645.85,109645.85,0.0,Paid,Net 45,2024-09-23,47,,nora.moreau@northlinegrocerscoop.com,"2276 Commerce Dr, Suite 756",Memphis,USA,NotSet,EmailSent,,QBO,False,0
5033,1033,2024-08-27,2024-09-11,2024-08,CFS,Cascade Freight Systems Inc,2007,Redstone Building Supply,Construction,4006,Dedicated Fleet - Monthly Contract,DED-FLT-MO,Dedicated Fleet - Monthly Contract - 2024-08,3,19071.08,4010,Revenue - Dedicated Fleet,Dedicated Fleet,USD,US Dollar,1.0,57213.24,57213.24,0.0,Paid,Net 15,2024-09-18,22,,victor.marchetti@redstonebuildingsupply.com,"8435 Commerce Dr, Suite 324",Memphis,USA,NotSet,EmailSent,,QBO,False,0
5034,1034,2024-08-20,2024-10-04,2024-08,CFS,Cascade Freight Systems Inc,2011,Meadowvale Farms,Agriculture,4004,Flatbed & Oversize Transport,SVC-FLAT,Flatbed & Oversize Transport - 2024-08,3,17095.91,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,51287.73,51287.73,0.0,Paid,Net 45,2024-10-12,53,,naomi.kowalczyk@meadowvalefarms.com,"7551 Terminal Way, Suite 176",Charlotte,USA,NotSet,EmailSent,,QBO,False,0
5035,1035,2024-08-11,2024-09-25,2024-08,CFS,Cascade Freight Systems Inc,2015,Copperfield Chemicals,Chemicals,4005,Refrigerated Truckload,SVC-REEF,Refrigerated Truckload - 2024-08,2,21708.38,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,43416.76,43416.76,0.0,Paid,Net 45,2024-09-24,44,,devon.vandermeer@copperfieldchemicals.com,"6069 Commerce Dr, Suite 265",Columbus,USA,NotSet,EmailSent,,QBO,False,0
5036,1036,2024-08-21,2024-09-20,2024-08,CFS,Cascade Freight Systems Inc,2018,Ferrous Metals Trading,Metals,4007,Driver Leasing Program,SVC-DRIVE,Driver Leasing Program - 2024-08,1,53250.24,4010,Revenue - Dedicated Fleet,Dedicated Fleet,USD,US Dollar,1.0,53250.24,53250.24,0.0,Paid,Net 30,2024-09-14,24,,naomi.ellsworth@ferrousmetalstrading.com,"2584 Havenweg, Suite 861",Memphis,USA,NotSet,EmailSent,,QBO,False,0
5037,1037,2024-08-21,2024-10-05,2024-08,CFS,Cascade Freight Systems Inc,2021,Highmark Steel Service,Metals,4004,Flatbed & Oversize Transport,SVC-FLAT,Flatbed & Oversize Transport - 2024-08,1,43405.72,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,43405.72,43405.72,0.0,Paid,Net 45,2024-10-09,49,,claire.vandermeer@highmarksteelservice.com,"9247 Oak Ave, Suite 708",Charlotte,USA,NotSet,EmailSent,,QBO,False,0
5038,1038,2024-08-24,2024-09-23,2024-08,NWC,Northwind Cargo B.V.,2000,Global Retail Partners,Retail,4002,Port Drayage Program,SVC-DRAY,Port Drayage Program - 2024-08,1,117025.02,4000,Revenue - Freight Brokerage,Freight Brokerage,EUR,Euro,1.09,117025.02,127557.27,0.0,Paid,Net 30,2024-09-16,23,,nora.solberg@globalretailpartners.com,"9059 Terminal Way, Suite 304",Antwerp,NLD,NotSet,EmailSent,,QBO,False,0
5039,1039,2024-08-15,2024-09-14,2024-08,NWC,Northwind Cargo B.V.,2004,Vertex Pharma Distribution,Pharma,4001,Freight Brokerage - International,FRT-BRK-INT,Freight Brokerage - International - 2024-08,2,27949.69,4000,Revenue - Freight Brokerage,Freight Brokerage,EUR,Euro,1.09,55899.38,60930.32,0.0,Paid,Net 30,2024-09-11,27,,devon.devereaux@vertexpharmadistribution.com,"1824 Cedar Ln, Suite 759",Antwerp,NLD,NotSet,EmailSent,,QBO,False,0
5040,1040,2024-08-25,2024-10-09,2024-08,NWC,Northwind Cargo B.V.,2009,Cobalt Electronics,Electronics,4015,Customs Entry & Clearance,CUS-ENTRY,Customs Entry & Clearance - 2024-08,2,17322.81,4050,Revenue - Customs & Compliance,Customs & Compliance,EUR,Euro,1.09,34645.62,37763.73,0.0,Paid,Net 45,2024-10-31,67,,owen.marchetti@cobaltelectronics.com,"4170 Cedar Ln, Suite 138",Hamburg,NLD,NotSet,EmailSent,,QBO,False,0
5041,1041,2024-08-20,2024-10-04,2024-08,NWC,Northwind Cargo B.V.,2010,Aurora Textiles Group,Apparel,4020,TMS Platform Subscription,SW-TMS-SEAT,TMS Platform Subscription - 2024-08,2,15646.77,4090,Revenue - Software & Data Services,Software & Data Services,EUR,Euro,1.09,31293.54,34109.96,0.0,Paid,Net 45,2024-09-30,41,,bianca.moreau@auroratextilesgroup.com,"5223 Oak Ave, Suite 555",Hamburg,NLD,NotSet,EmailSent,,QBO,False,0
5042,1042,2024-08-28,2024-09-27,2024-08,NWC,Northwind Cargo B.V.,2014,Polaris Cold Chain,Food,4002,Port Drayage Program,SVC-DRAY,Port Drayage Program - 2024-08,3,11045.6,4000,Revenue - Freight Brokerage,Freight Brokerage,EUR,Euro,1.09,33136.8,36119.11,0.0,Paid,Net 30,2024-09-18,21,,marcus.lindqvist@polariscoldchain.com,"3723 Cedar Ln, Suite 328",Duisburg,NLD,NotSet,EmailSent,,QBO,False,0
5043,1043,2024-08-27,2024-09-11,2024-08,NWC,Northwind Cargo B.V.,2020,Volta Battery Systems,Electronics,4001,Freight Brokerage - International,FRT-BRK-INT,Freight Brokerage - International - 2024-08,1,26648.52,4000,Revenue - Freight Brokerage,Freight Brokerage,EUR,Euro,1.09,26648.52,29046.89,0.0,Paid,Net 15,2024-09-15,19,,bianca.nowak@voltabatterysystems.com,"3100 Cedar Ln, Suite 400",Lyon,NLD,NotSet,EmailSent,,QBO,False,0
5044,1044,2024-08-07,2024-10-06,2024-08,APX,Apex Warehousing LLC,2005,Solstice Home Goods,Retail,4009,Cross-Dock Handling,SVC-CROSS,Cross-Dock Handling - 2024-08,3,20191.51,4020,Revenue - LTL Consolidation,LTL Consolidation,USD,US Dollar,1.0,60574.53,60574.53,0.0,Paid,Net 60,2024-10-03,57,,ingrid.whitfield@solsticehomegoods.com,"7197 Commerce Dr, Suite 618",Columbus,USA,NotSet,EmailSent,,QBO,False,0
5045,1045,2024-08-02,2024-09-01,2024-08,APX,Apex Warehousing LLC,2012,Pinnacle Sports Supply,Retail,4011,Cold Storage - Pallet Positions,WHS-COLD,Cold Storage - Pallet Positions - 2024-08,1,37804.85,4030,Revenue - Warehousing & Storage,Warehousing & Storage,USD,US Dollar,1.0,37804.85,37804.85,0.0,Paid,Net 30,2024-09-09,38,,marcus.okafor@pinnaclesportssupply.com,"9301 Industrial Pkwy, Suite 741",Dallas,USA,NotSet,EmailSent,,QBO,False,0
5046,1046,2024-08-18,2024-09-17,2024-08,APX,Apex Warehousing LLC,2016,Trailhead Outdoor Gear,Retail,4011,Cold Storage - Pallet Positions,WHS-COLD,Cold Storage - Pallet Positions - 2024-08,1,32678.62,4030,Revenue - Warehousing & Storage,Warehousing & Storage,USD,US Dollar,1.0,32678.62,32678.62,0.0,Paid,Net 30,2024-09-21,34,,grant.delacroix@trailheadoutdoorgear.com,"3067 Industrial Pkwy, Suite 158",Seattle,USA,NotSet,EmailSent,,QBO,False,0
5047,1047,2024-08-27,2024-09-11,2024-08,APX,Apex Warehousing LLC,2019,Silverline Appliances,Appliances,4013,Fulfillment - Pick & Pack,FUL-PICK,Fulfillment - Pick & Pack - 2024-08,2,14522.58,4040,Revenue - Fulfillment & Pick-Pack,Fulfillment & Pick-Pack,USD,US Dollar,1.0,29045.16,29045.16,0.0,Paid,Net 15,2024-08-30,3,,naomi.kowalczyk@silverlineappliances.com,"3450 Havenweg, Suite 419",Columbus,USA,NotSet,EmailSent,,QBO,False,0
5048,1048,2024-08-28,2024-09-12,2024-08,APX,Apex Warehousing LLC,2022,Lumina Cosmetics,Beauty,4010,Warehousing - Pallet Positions,WHS-STOR-PAL,Warehousing - Pallet Positions - 2024-08,3,9451.12,4030,Revenue - Warehousing & Storage,Warehousing & Storage,USD,US Dollar,1.0,28353.36,28353.36,0.0,Paid,Net 15,2024-09-21,24,,helena.mendez@luminacosmetics.com,"3400 Havenweg, Suite 247",Atlanta,USA,NotSet,EmailSent,,QBO,False,0
5049,1049,2024-09-25,2024-11-09,2024-09,MLG,Meridian Logistics LLC,2001,Vantage Consumer Brands,CPG,4017,Last Mile Delivery Program,LM-DEL-ST,Last Mile Delivery Program - 2024-09,3,34211.3,4060,Revenue - Last Mile Delivery,Last Mile Delivery,USD,US Dollar,1.0,102633.9,102633.9,0.0,Paid,Net 45,2024-11-06,42,,angela.nowak@vantageconsumerbrands.com,"7611 Oak Ave, Suite 587",Memphis,USA,NotSet,EmailSent,,QBO,False,0
5050,1050,2024-09-19,2024-10-19,2024-09,MLG,Meridian Logistics LLC,2002,Ironbridge Manufacturing,Industrial,4000,Freight Brokerage - Standard,FRT-BRK-STD,Freight Brokerage - Standard - 2024-09,1,97721.76,4000,Revenue - Freight Brokerage,Freight Brokerage,USD,US Dollar,1.0,97721.76,97721.76,0.0,Paid,Net 30,2024-10-17,28,,lena.sandoval@ironbridgemanufacturing.com,"5482 Oak Ave, Suite 181",Columbus,USA,NotSet,EmailSent,,QBO,False,0
5051,1051,2024-09-16,2024-10-01,2024-09,MLG,Meridian Logistics LLC,2006,Kestrel Auto Components,Automotive,4021,Freight Bill Audit & Pay,SVC-AUDIT,Freight Bill Audit & Pay - 2024-09,3,20747.15,4090,Revenue - Software & Data Services,Software & Data Services,USD,US Dollar,1.0,62241.45,62241.45,0.0,Paid,Net 15,2024-10-06,20,,nora.vasquez@kestrelautocomponents.com,"4140 Industrial Pkwy, Suite 748",Newark,USA,NotSet,EmailSent,,QBO,False,0
5052,1052,2024-09-03,2024-10-18,2024-09,MLG,Meridian Logistics LLC,2008,Halcyon Beverage Co,Beverage,4021,Freight Bill Audit & Pay,SVC-AUDIT,Freight Bill Audit & Pay - 2024-09,2,23359.56,4090,Revenue - Software & Data Services,Software & Data Services,USD,US Dollar,1.0,46719.12,46719.12,0.0,Paid,Net 45,2024-10-18,45,,rachel.mensah@halcyonbeverageco.com,"9866 Terminal Way, Suite 792",Dallas,USA,NotSet,EmailSent,,QBO,False,0
5053,1053,2024-09-11,2024-11-10,2024-09,MLG,Meridian Logistics LLC,2013,Summit Medical Supply,Healthcare,4008,LTL Consolidation - Lane Program,LTL-CON-LN,LTL Consolidation - Lane Program - 2024-09,3,16685.7,4020,Revenue - LTL Consolidation,LTL Consolidation,USD,US Dollar,1.0,50057.1,50057.1,0.0,Paid,Net 60,2024-11-19,69,,rachel.whitfield@summitmedicalsupply.com,"3309 Terminal Way, Suite 763",Atlanta,USA,NotSet,EmailSent,,QBO,False,0
